job_title,job_type,job_categories,job_location,company_name,company_location,company_field,company_size,experience_needed,career_level,education_level,gender
Accountant,Full Time,Accounting/Finance,"Mohandessin, Giza",AMLAK Finance - Egypt,"Giza, Egypt ",Financial Services,50-99 Employees,Min: 1 Max: 2,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,Both
Senior Treasury Analyst,Full Time,Accounting/Finance,"Garden City, Cairo",TAQA Petroleum,"Cairo, Egypt ",Oil and Gas,500 Employees or more,Min: 3 Max: 5,Experienced (Non-Manager),Bachelor's Degree,Both
Senior Financial Analyst,Full Time,Accounting/Finance,"Cairo, Egypt",TAQA Petroleum,"Cairo, Egypt ",Oil and Gas,500 Employees or more,Min: 3 Max: 5,Experienced (Non-Manager),Bachelor's Degree,Both
"Area Central Controller & Reporting ""Finance""",Full Time,Accounting/Finance,"Cairo, Egypt",Confidential Company,"Cairo, Egypt",Manufacturing,10-49 Employees,Min: 3 Max: 5,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,Both
"Senior Cost Center ""Finance""",Full Time,Accounting/Finance,"Cairo, Egypt",Confidential Company,"Cairo, Egypt",Manufacturing,10-49 Employees,Min: 7 Max: 10,Experienced (Non-Manager),Bachelor's Degree,Both
Budget Controller,Full Time,Accounting/Finance,"Cairo, Egypt",Confidential Company,"Cairo, Egypt",Manufacturing,10-49 Employees,Min: 3 Max: 5,Experienced (Non-Manager),Bachelor's Degree,Both
Treasury Accountant,Full Time,Accounting/Finance,"Nasr City, Cairo",ECRAL,"Cairo, Egypt ",Automotive,50-99 Employees,Min: 3 Max: 5,Experienced (Non-Manager),Bachelor's Degree,Both
Senior Accountant,Full Time,Accounting/Finance,"Dokki, Giza",Mc Ledger,"Giza, Egypt ","Accounting and Auditing Services, Information Technology Services",10-49 Employees,Min: 3 Max: 5,Experienced (Non-Manager),Bachelor's Degree,Both
Accounting Manager,Full Time,Accounting/Finance,"Sheikh Zayed, Giza",Nile University,"Giza, Egypt ",Higher Education,50-99 Employees,Min: 7 Max: 10,Manager,Bachelor's Degree,Both
Account Officer,Full Time,Accounting/Finance,"Heliopolis, Cairo",CSI,"Cairo, Egypt ",Consulting Services,50-99 Employees,Min: 3 Max: 5,Experienced (Non-Manager),Bachelor's Degree,Both
Senior Accounts Payable Accountant ( Import and Manufacturing ),Full Time,Accounting/Finance,"New Cairo, Cairo",T&D Design,"Cairo, Egypt ",Furniture,100-499 Employees,Min: 3 Max: 5,Experienced (Non-Manager),Bachelor's Degree,Both
Financial Administrator,Full Time,Accounting/Finance,"Heliopolis, Cairo",Egyptian Sudanese,"Cairo, Egypt ",Government,100-499 Employees,Min: 1 Max: 2,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,Both
Accountant,Full Time,Accounting/Finance,"New Cairo, Cairo",Sinoma-cdi,"Cairo, Egypt ","Construction - Industrial Facilities and Infrastructure, Engineering Services",100-499 Employees,Min: 1 Max: 2,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,Both
Accountant Section Head,Full Time,Accounting/Finance,"Heliopolis, Cairo",Egyptian Sudanese,"Cairo, Egypt ",Government,100-499 Employees,Min: 7 Max: 10,Manager,Bachelor's Degree,Both
Pricing Specialist,Full Time,Accounting/Finance,"Obour City, Cairo",Riadco 2000,"Cairo, Egypt ","Furniture, Manufacturing",500 Employees or more,Min: 1 Max: 2,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,Both
Debt Collection Officer/ Accounts Receivables Accountant,Full Time,Accounting/Finance,"Mohandessin, Giza",Alwadi Holding,"Giza, Egypt ",Manufacturing,100-499 Employees,Min: 3 Max: 5,Experienced (Non-Manager),Bachelor's Degree,Both
General Accountant,Full Time,Accounting/Finance,"10th of Ramadan City, Cairo",Al monairy,"Cairo, Egypt ",FMCG,100-499 Employees,Min: 3 Max: 5,Experienced (Non-Manager),Bachelor's Degree,Both
Junior Accountant,Full Time,Accounting/Finance,"Abu Rawash, Giza",Monginis Food Industries & Services,"Giza, Egypt ","FMCG, Food and Beverage Production, Food Services/Restaurants/Catering",500 Employees or more,Min: 0 Max: 1,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,Female
General Accountant,Full Time,Accounting/Finance,"Nasr City, Cairo",ForeFront Trading and Export,"Cairo, Egypt ","Construction - Industrial Facilities and Infrastructure, FMCG, Import and Export",10-49 Employees,Min: 3 Max: 5,Experienced (Non-Manager),Bachelor's Degree,Female
Senior Financial Analyst,Full Time,Accounting/Finance,"6th of October, Giza",Confidential Company,"6th of October, Giza",Manufacturing,10-49 Employees,Min: 3 Max: 5,Experienced (Non-Manager),Bachelor's Degree,Both
Senior Internal Auditor,Full Time,Accounting/Finance,"Maadi, Cairo",Fawry for Banking Technology and Electronic Payments S.A.E,"Giza, Egypt ",Financial Services,500 Employees or more,Min: 3 Max: 5,Experienced (Non-Manager),Bachelor's Degree,Both
Patient Account Supervisor,Full Time,Accounting/Finance,"Sheikh Zayed, Giza",Rofayda Health Park,"Giza, Egypt ",Healthcare and Medical Services,100-499 Employees,Min: 7 Max: 10,Manager,Bachelor's Degree,Both
Senior Costing and Stock Analysis Officer,Full Time,Accounting/Finance,"Cairo, Egypt",Confidential Company,"Cairo, Egypt",Manufacturing,10-49 Employees,Min: 3 Max: 5,Experienced (Non-Manager),Bachelor's Degree,Both
